Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
8	2	1980	7.0	16.0	0.0	1.5
9	2	1980	6.0	17.0	0.0	1.5
10	2	1980	6.0	18.0	0.0	1.5
11	2	1980	10.0	16.0	0.0	1.4
12	2	1980	9.0	16.0	14.2	1.4
13	2	1980	7.0	16.0	0.0	1.6
14	2	1980	6.0	16.0	0.0	1.7
15	2	1980	6.0	15.0	1.4	1.5
16	2	1980	7.0	17.0	0.0	1.8
17	2	1980	9.0	16.0	1.4	1.6
18	2	1980	7.0	15.0	3.9	1.5
19	2	1980	6.0	16.0	5.2	1.8
20	2	1980	11.0	18.0	1.5	2.0
21	2	1980	12.0	14.0	0.0	1.2
22	2	1980	11.0	17.0	6.1	1.5
23	2	1980	6.0	17.0	0.0	1.6
24	2	1980	10.0	17.0	0.0	1.8
25	2	1980	9.0	13.0	4.5	1.1
26	2	1980	7.0	13.0	7.3	1.5
27	2	1980	6.0	15.0	0.3	1.9
28	2	1980	3.0	16.0	0.0	2.0
29	2	1980	5.0	17.0	0.0	2.0
1	3	1980	5.0	15.0	0.0	1.7
2	3	1980	3.0	19.0	0.0	2.3
3	3	1980	7.0	21.0	0.0	2.8
4	3	1980	6.0	22.0	0.0	2.9
5	3	1980	13.0	16.0	1.1	1.7
6	3	1980	9.0	18.0	19.5	2.0
7	3	1980	9.0	15.0	0.0	1.6
8	3	1980	9.0	17.0	1.4	2.2
9	3	1980	10.0	15.0	8.6	2.1
10	3	1980	9.0	16.0	5.0	2.3
11	3	1980	6.0	16.0	0.0	2.2
12	3	1980	7.0	12.0	0.7	1.3
13	3	1980	5.0	16.0	2.4	2.1
14	3	1980	6.0	13.0	0.0	1.9
15	3	1980	4.0	13.0	1.0	2.0
16	3	1980	5.0	13.0	5.9	1.9
17	3	1980	7.0	15.0	4.2	2.2
18	3	1980	6.0	18.0	0.7	2.6
19	3	1980	10.0	18.0	0.0	2.2
20	3	1980	9.0	21.0	0.7	2.9
21	3	1980	11.0	18.0	0.7	2.3
22	3	1980	10.0	22.0	0.8	3.2
23	3	1980	10.0	19.0	1.0	2.9
24	3	1980	7.0	17.0	0.0	2.5
25	3	1980	7.0	18.0	0.0	2.6
26	3	1980	7.0	21.0	0.0	3.5
27	3	1980	7.0	25.0	0.0	4.0
28	3	1980	11.0	23.0	0.0	3.8
29	3	1980	11.0	24.0	0.0	3.7
30	3	1980	13.0	18.0	0.0	2.3
31	3	1980	10.0	19.0	0.0	3.0
1	4	1980	8.0	27.0	0.0	4.8
2	4	1980	10.0	26.0	0.0	4.6
3	4	1980	10.0	18.0	0.0	3.2
4	4	1980	9.0	18.0	0.0	3.5
5	4	1980	7.0	10.0	1.4	1.4
6	4	1980	5.0	16.0	5.8	2.8
7	4	1980	5.0	16.0	1.3	2.9
8	4	1980	6.0	17.0	2.0	3.1
9	4	1980	8.0	16.0	3.8	2.9
10	4	1980	8.0	17.0	3.3	3.2
11	4	1980	6.0	17.0	0.0	3.3
12	4	1980	4.0	19.0	0.0	3.6
13	4	1980	12.0	19.0	0.0	3.2
14	4	1980	12.0	18.0	0.0	2.9
15	4	1980	13.0	19.0	0.0	2.9
16	4	1980	12.0	15.0	7.4	1.7
17	4	1980	11.0	17.0	0.7	2.4
18	4	1980	10.0	18.0	0.0	2.7
19	4	1980	10.0	16.0	3.0	2.5
20	4	1980	11.0	21.0	6.8	3.8
21	4	1980	10.0	17.0	0.0	3.0
22	4	1980	7.0	17.0	0.0	3.5
23	4	1980	8.0	17.0	0.0	3.3
24	4	1980	7.0	20.0	0.0	4.0
25	4	1980	6.0	19.0	0.0	3.8
26	4	1980	9.0	18.0	0.0	3.2
27	4	1980	10.0	21.0	0.0	4.2
28	4	1980	8.0	21.0	0.0	4.0
29	4	1980	13.0	20.0	0.0	3.1
30	4	1980	15.0	20.0	0.0	3.3
1	5	1980	12.0	18.0	2.5	3.1
2	5	1980	10.0	24.0	2.5	4.7
3	5	1980	7.0	29.0	0.0	5.2
4	5	1980	15.0	21.0	0.0	3.5
5	5	1980	12.0	23.0	0.0	4.3
6	5	1980	11.0	24.0	0.0	4.6
7	5	1980	13.0	23.0	16.8	3.9
8	5	1980	12.0	26.0	0.0	4.9
9	5	1980	14.0	25.0	0.0	4.8
10	5	1980	12.0	23.0	0.0	4.6
11	5	1980	9.0	22.0	0.0	4.3
12	5	1980	9.0	21.0	0.0	3.8
13	5	1980	15.0	21.0	0.0	3.3
14	5	1980	13.0	19.0	0.0	2.9
15	5	1980	13.0	22.0	1.5	4.1
16	5	1980	13.0	25.0	0.0	5.0
17	5	1980	12.0	23.0	0.0	4.2
18	5	1980	10.0	21.0	0.0	4.0
19	5	1980	11.0	20.0	0.0	3.7
20	5	1980	12.0	22.0	3.6	4.2
21	5	1980	11.0	24.0	0.0	4.7
22	5	1980	12.0	29.0	0.0	6.0
23	5	1980	16.0	23.0	0.0	4.5
24	5	1980	14.0	25.0	0.0	5.2
25	5	1980	12.0	26.0	0.0	5.2
26	5	1980	13.0	21.0	0.0	3.5
27	5	1980	14.0	22.0	0.0	3.8
28	5	1980	13.0	22.0	0.0	3.9
29	5	1980	15.0	22.0	6.0	3.7
30	5	1980	14.0	26.0	5.2	5.2
31	5	1980	12.0	24.0	0.0	4.7
1	6	1980	17.0	26.0	0.0	5.2
2	6	1980	15.0	24.0	0.0	4.8
3	6	1980	13.0	26.0	0.0	5.5
4	6	1980	11.0	23.0	0.0	4.5
5	6	1980	11.0	27.0	0.0	5.6
6	6	1980	12.0	27.0	0.0	5.6
7	6	1980	14.0	30.0	0.0	6.3
8	6	1980	19.0	31.0	0.0	6.1
9	6	1980	18.0	26.0	5.2	4.5
10	6	1980	15.0	28.0	0.5	5.7
11	6	1980	16.0	26.0	0.0	4.8
12	6	1980	15.0	30.0	0.0	6.3
13	6	1980	20.0	30.0	0.0	5.8
14	6	1980	19.0	31.0	0.0	6.0
15	6	1980	20.0	30.0	0.0	5.8
16	6	1980	17.0	29.0	0.0	6.0
17	6	1980	15.0	30.0	0.0	6.4
18	6	1980	18.0	32.0	0.0	7.1
19	6	1980	18.0	28.0	0.0	5.7
20	6	1980	18.0	29.0	0.0	5.8
21	6	1980	15.0	30.0	0.0	6.0
22	6	1980	19.0	32.0	0.0	6.4
23	6	1980	20.0	29.0	0.0	5.2
24	6	1980	20.0	29.0	0.0	5.5
25	6	1980	17.0	33.0	0.0	6.9
26	6	1980	17.0	33.0	0.0	6.9
27	6	1980	18.0	29.0	0.0	5.9
28	6	1980	17.0	27.0	0.0	5.4
29	6	1980	15.0	27.0	0.0	5.5
30	6	1980	14.0	28.0	0.0	5.6
1	7	1980	14.0	34.0	0.0	7.0
2	7	1980	19.0	30.0	0.0	5.9
3	7	1980	17.0	30.0	0.0	6.2
4	7	1980	17.0	29.0	0.0	6.0
5	7	1980	15.0	30.0	0.0	6.2
6	7	1980	19.0	35.0	0.0	7.4
7	7	1980	20.0	33.0	1.0	6.5
8	7	1980	19.0	39.0	0.0	8.0
9	7	1980	20.0	38.0	0.0	7.9
10	7	1980	18.0	28.0	0.0	5.2
11	7	1980	19.0	28.0	0.0	5.5
12	7	1980	18.0	27.0	0.0	5.5
13	7	1980	17.0	28.0	0.0	5.7
14	7	1980	14.0	31.0	0.0	6.3
15	7	1980	19.0	33.0	0.0	6.6
16	7	1980	17.0	35.0	0.0	6.9
17	7	1980	21.0	29.0	0.0	5.4
18	7	1980	17.0	29.0	0.0	5.8
19	7	1980	16.0	31.0	0.0	6.3
20	7	1980	16.0	34.0	0.0	6.8
21	7	1980	18.0	35.0	0.0	7.1
22	7	1980	18.0	31.0	0.0	6.2
23	7	1980	13.0	28.0	0.0	5.2
24	7	1980	14.0	31.0	0.0	5.9
25	7	1980	16.0	31.0	0.0	5.8
26	7	1980	16.0	35.0	0.0	6.8
27	7	1980	19.0	33.0	0.0	6.5
28	7	1980	17.0	29.0	0.0	5.2
29	7	1980	19.0	34.0	0.0	6.6
30	7	1980	20.0	33.0	0.0	6.1
31	7	1980	17.0	32.0	0.0	6.2
1	8	1980	17.0	30.0	0.0	5.4
2	8	1980	23.0	36.0	0.0	7.0
3	8	1980	21.0	37.0	0.0	7.3
4	8	1980	20.0	39.0	0.0	7.6
5	8	1980	21.0	33.0	0.0	5.7
6	8	1980	21.0	36.0	0.0	7.1
7	8	1980	19.0	33.0	0.0	6.2
8	8	1980	17.0	33.0	0.0	5.8
9	8	1980	20.0	33.0	0.0	6.1
10	8	1980	20.0	32.0	0.0	5.7
11	8	1980	19.0	35.0	0.0	6.7
12	8	1980	20.0	35.0	0.0	6.8
13	8	1980	19.0	33.0	0.0	6.3
14	8	1980	20.0	30.0	0.0	5.0
15	8	1980	20.0	36.0	0.0	6.5
16	8	1980	21.0	34.0	0.0	6.2
17	8	1980	21.0	31.0	0.0	5.6
18	8	1980	21.0	31.0	0.0	5.3
19	8	1980	18.0	33.0	0.0	5.9
20	8	1980	17.0	30.0	0.0	5.0
21	8	1980	19.0	34.0	0.0	6.3
22	8	1980	17.0	35.0	0.0	6.5
23	8	1980	21.0	37.0	0.0	7.0
24	8	1980	22.0	34.0	0.0	6.2
25	8	1980	20.0	29.0	0.0	4.5
