Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
14	6	1991	7.57	13.49	2.61	2.2933794960609464
15	6	1991	6.15	12.44	5.33	2.1950411609068814
16	6	1991	5.81	14.16	3.37	2.9594542387296117
17	6	1991	6.43	13.5	2.07	2.6996635856218165
18	6	1991	6.38	9.8	3.68	1.5261447683445313
19	6	1991	7.13	13.37	4.37	2.606295418356862
20	6	1991	6.28	15.51	0.27	3.9262951771595227
21	6	1991	7.89	16.54	5.09	2.2036801559349875
22	6	1991	7.91	15.65	5.02	3.1961960143527213
23	6	1991	7.68	14.86	1.04	3.1074566471346445
24	6	1991	6.27	17.76	1.65	3.6595054464386676
25	6	1991	11.08	15.9	3.13	1.9018618194773338
26	6	1991	8.9	15.22	3.04	3.549342792692861
27	6	1991	7.87	16.14	1.95	3.2940864738621305
28	6	1991	8.08	16.48	0.42	3.7838430497343256
29	6	1991	6.44	15.92	0.81	3.5459354548917617
30	6	1991	10.53	17.07	0.83	2.8163654053050196
1	7	1991	9.49	17.84	2.44	3.681148035435947
2	7	1991	9.94	17.93	2.75	3.2933770109621996
3	7	1991	11.65	21.3	1.85	2.727972532925494
4	7	1991	11.19	22.58	0.11	5.185440949058905
5	7	1991	12.24	20.25	0.07	4.435599633523276
6	7	1991	14.09	24.31	1.87	4.377703239575225
7	7	1991	13.23	23.69	10.08	4.319854823996264
8	7	1991	12.71	20.01	4.35	2.667015272983825
9	7	1991	11.89	17.53	1.98	2.750993433825599
10	7	1991	10.95	20.23	0.03	3.771225592276156
11	7	1991	9.62	23.22	2.03	3.687173544095751
12	7	1991	9.31	17.73	2.78	3.191806059073313
13	7	1991	11.39	17.76	2.67	2.6105000201915525
14	7	1991	10.26	16.96	0.26	3.4041251948665483
15	7	1991	11.59	16.93	2.66	2.408236346635939
16	7	1991	10.28	16.03	1.67	3.09611041707233
17	7	1991	9.16	15.98	0.35	3.1872911607564234
18	7	1991	10.75	18.21	10.61	2.34979081643475
19	7	1991	11.65	17.8	2.66	2.878203736395324
20	7	1991	9.84	17.27	1.26	3.1518516293469876
21	7	1991	9.21	18.75	0.76	3.782474127022324
22	7	1991	12.44	19.98	0.63	3.0284225415216515
23	7	1991	10.3	19.37	3.56	2.377614009313686
24	7	1991	9.74	17.48	5.54	2.682796449675318
25	7	1991	10.68	18.33	3.82	2.7862852798473545
26	7	1991	9.19	20.91	0.11	4.064084783166711
27	7	1991	10.44	21.84	0.54	3.6884856632848786
28	7	1991	12.23	22.01	0.21	3.4775818188453504
29	7	1991	11.31	23.62	0.07	4.924746517860757
30	7	1991	13.79	22.83	0.5	3.630880068432784
31	7	1991	12.48	22.08	3.42	3.0939045897106054
1	8	1991	10.89	21.02	0.21	3.9299576038659625
2	8	1991	11.77	19.18	0.33	2.911794843131653
3	8	1991	10.1	20.74	0.68	3.736180158520624
4	8	1991	10.31	19.87	0.36	3.0359620209093285
5	8	1991	12.93	18.97	3.56	1.4345885924387107
6	8	1991	12.08	20.69	9.24	2.0539643482558088
7	8	1991	8.98	17.78	0.88	2.864469948966766
8	8	1991	10.73	18.48	0.16	3.81398320975844
9	8	1991	11.19	18.83	4.76	1.973500642980135
10	8	1991	14.58	20.84	3.29	1.834166203754175
11	8	1991	10.53	16.97	0.48	2.8525614851802694
12	8	1991	9.09	15.68	0.36	2.3774549826321456
13	8	1991	7.63	17.83	0.12	3.597168011068314
14	8	1991	8.13	18.62	0.01	3.085845976463685
15	8	1991	9.5	19.22	0.62	2.652352971708761
16	8	1991	10.36	15.41	1.87	1.9286369633171765
17	8	1991	8.54	16.82	1.44	3.049285948821121
18	8	1991	7.08	16.64	0.09	3.260130214825295
19	8	1991	7.07	17.03	1.48	1.950053513489417
20	8	1991	7.62	17.8	0.01	3.8986555064039665
21	8	1991	8.5	20.92	0.25	3.6839746946449
22	8	1991	12.21	21.26	3.91	2.796877899435448
23	8	1991	9.33	15.26	6.48	1.767722391038474
24	8	1991	10.37	17.84	0.6	2.4495473980294387
25	8	1991	10.66	18.91	0.19	2.7606403435262274
26	8	1991	10.07	20.48	0.22	3.476650484795115
27	8	1991	10.69	18.47	1.49	1.7183945775850276
28	8	1991	12.9	20.01	0.81	2.03467863187041
29	8	1991	11.34	21.48	0.09	3.7590821970818453
30	8	1991	11.12	22.43	0.0	4.067671768509547
31	8	1991	9.17	21.26	0.11	4.179042623585138
1	9	1991	8.94	22.7	0.14	4.4303202874354275
2	9	1991	10.36	23.0	0.13	4.168525372650002
3	9	1991	9.97	20.95	0.11	3.680027236943027
4	9	1991	9.44	20.96	0.1	3.818231177186242
5	9	1991	9.95	20.29	0.44	2.7841150404463653
6	9	1991	6.77	16.59	0.02	3.4696941505681687
7	9	1991	5.96	18.61	0.0	3.796046018099551
8	9	1991	7.23	18.95	0.1	3.267652915418337
9	9	1991	6.87	20.09	0.1	3.671457391964129
10	9	1991	10.68	19.66	0.03	3.125723866718704
11	9	1991	5.08	14.98	0.58	2.2775599811083715
12	9	1991	3.98	15.83	0.02	2.734811001705217
13	9	1991	7.94	19.92	0.13	2.135867700900942
14	9	1991	10.22	20.17	4.73	1.7206483157911694
15	9	1991	8.99	16.35	0.35	2.1820731692821917
16	9	1991	10.23	19.9	8.66	2.0667532216287894
17	9	1991	10.49	15.75	0.24	1.8752090772269687
18	9	1991	9.66	14.89	1.02	2.2439195356798862
19	9	1991	7.36	14.27	0.09	1.727385363520352
20	9	1991	7.12	15.55	0.01	2.0082108704370167
21	9	1991	6.3	18.64	6.75	2.0825605636832516
22	9	1991	8.21	12.63	1.75	1.6439703981000822
23	9	1991	8.97	15.85	3.64	1.2769679849670887
24	9	1991	9.41	14.3	2.4	1.628277641014011
25	9	1991	5.78	12.87	0.42	1.737984701429773
26	9	1991	4.87	12.97	5.44	1.7610253810080754
27	9	1991	5.29	10.24	3.47	1.2991054638484831
28	9	1991	6.51	11.55	3.63	1.071969583604574
29	9	1991	4.47	11.02	4.27	1.2736371035389116
30	9	1991	3.55	10.57	0.65	1.517327915407519
1	10	1991	7.05	11.0	1.72	1.2141765889046194
2	10	1991	6.94	12.31	1.45	1.1920577070276446
3	10	1991	7.47	13.13	2.91	1.7076057614766034
4	10	1991	7.4	13.05	0.51	1.5834284338852376
5	10	1991	5.75	10.4	5.8	1.3471567312722939
6	10	1991	4.04	10.88	0.07	1.3063571544542119
7	10	1991	7.64	12.12	6.59	0.617547888069704
8	10	1991	7.94	12.91	8.2	1.4042809021001936
9	10	1991	9.25	13.8	1.35	0.9042591152704295
10	10	1991	7.92	15.71	0.53	1.468584694681325
11	10	1991	9.73	17.2	0.27	1.7358267809266692
12	10	1991	10.56	14.69	0.77	0.8591989239982288
13	10	1991	8.7	12.7	4.18	0.640689506523586
14	10	1991	7.44	12.83	0.61	0.7464550496707456
15	10	1991	4.94	11.41	0.35	0.9453206683939173
16	10	1991	6.22	12.7	3.93	1.0356352003782265
17	10	1991	4.16	7.76	5.67	0.6266304783395128
18	10	1991	2.24	6.89	0.42	0.9885813458952187
19	10	1991	1.43	5.85	0.33	0.9941304902755943
20	10	1991	0.52	7.61	0.62	0.9790296430092343
21	10	1991	0.98	9.87	0.35	1.2793552350919448
22	10	1991	4.87	10.31	0.18	1.2363975331998658
23	10	1991	3.94	10.65	0.06	1.0799921157597334
24	10	1991	4.19	8.21	0.63	0.7759199510011747
25	10	1991	6.44	9.12	1.36	0.6974999262996018
26	10	1991	4.86	9.09	1.49	0.6115452593346371
27	10	1991	4.87	9.76	0.21	0.7594623072978385
28	10	1991	5.91	10.8	0.96	0.721461520870056
29	10	1991	8.23	11.15	8.32	0.5537630455036057
30	10	1991	3.87	9.1	8.87	0.9979223205392999
31	10	1991	4.34	11.21	25.67	0.7483631440286495
1	11	1991	6.93	11.94	5.84	0.8249886563787493
2	11	1991	6.94	9.33	6.77	0.5316111899806816
3	11	1991	0.87	7.88	4.96	0.91620350755816
4	11	1991	-0.05	6.8	6.94	0.7255194335099271
5	11	1991	-1.19	4.16	0.05	0.8734636281604006
6	11	1991	-0.98	9.88	3.73	1.0271497251575148
7	11	1991	8.57	10.83	6.16	0.4871569476911367
8	11	1991	3.12	7.63	1.84	0.693230267219368
9	11	1991	-0.95	4.88	0.53	0.8660951026972921
10	11	1991	-0.05	8.76	7.33	0.8737602567657279
11	11	1991	3.15	6.55	0.26	0.686739164762274
12	11	1991	1.39	5.01	8.24	0.4234145192012003
13	11	1991	0.8	3.38	4.0	0.39532290631023215
14	11	1991	0.77	5.78	1.94	0.6653193885038606
15	11	1991	0.12	6.73	0.26	0.9132724276243773
16	11	1991	-1.14	3.47	0.13	0.5708705104260132
17	11	1991	-0.47	2.19	6.5	0.4599548471215447
18	11	1991	0.44	5.18	4.84	0.5026598385984753
19	11	1991	0.5	5.34	2.07	0.6899787363618262
20	11	1991	-1.92	4.15	0.28	0.7035899022380396
21	11	1991	-1.67	7.24	6.82	0.6929111779893902
22	11	1991	6.34	8.35	0.26	0.37843954099482446
23	11	1991	4.64	6.78	0.16	0.3885358491657569
24	11	1991	2.0	7.68	0.37	0.6257607659566928
25	11	1991	1.76	8.54	1.81	0.7078924303823539
26	11	1991	6.26	8.75	0.22	0.4702619939470779
27	11	1991	5.01	8.98	0.69	0.5749909335313579
28	11	1991	3.94	9.05	3.04	0.6510511734499547
29	11	1991	5.29	7.39	0.66	0.3879749969377469
30	11	1991	3.22	6.68	0.39	0.5380894761760922
1	12	1991	3.31	7.87	0.24	0.5595676229512807
2	12	1991	3.2	5.39	0.31	0.35141988793652235
3	12	1991	1.42	5.94	0.19	0.5932517941432123
4	12	1991	0.41	2.69	0.29	0.3298468185286678
5	12	1991	1.01	5.05	0.3	0.45143723122535334
6	12	1991	-2.22	3.45	0.01	0.5641024273342594
7	12	1991	-2.31	1.4	0.05	0.43298560879753695
8	12	1991	-2.5	1.93	0.04	0.5097629440515627
9	12	1991	-2.2	0.98	0.1	0.3737183907025088
10	12	1991	-4.85	0.93	0.1	0.5253527519622083
11	12	1991	-7.79	-1.47	0.0	0.4715125116471441
